"unitid","institution name","year","S2019_IS.Instructional staff category","S2019_IS.Grand total","S2019_IS.Grand total men","S2019_IS.Grand total women","S2019_IS.American Indian or Alaska Native total","S2019_IS.American Indian or Alaska Native men","S2019_IS.American Indian or Alaska Native women","S2019_IS.Asian total","S2019_IS.Asian men","S2019_IS.Asian women","S2019_IS.Black or African American total","S2019_IS.Black or African American men","S2019_IS.Black or African American women","S2019_IS.Hispanic or Latino total","S2019_IS.Hispanic or Latino men","S2019_IS.Hispanic or Latino women","S2019_IS.Native Hawaiian or Other Pacific Islander total","S2019_IS.Native Hawaiian or Other Pacific Islander men","S2019_IS.Native Hawaiian or Other Pacific Islander women","S2019_IS.White total","S2019_IS.White men","S2019_IS.White women","S2019_IS.Two or more races total","S2019_IS.Two or more races men","S2019_IS.Two or more races women","S2019_IS.Race/ethnicity unknown total","S2019_IS.Race/ethnicity unknown men","S2019_IS.Race/ethnicity unknown women","S2019_IS.Nonresident alien total","S2019_IS.Nonresident alien men","S2019_IS.Nonresident alien women","IDX_HR"
"105367","Ottawa University-Phoenix","2019","Tenured total","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"105367","Ottawa University-Phoenix","2019","Tenured, professors","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"105367","Ottawa University-Phoenix","2019","Not on tenure track/No tenure system system total","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0","0","0","0","-2"
"105367","Ottawa University-Phoenix","2019","Not on tenure/no tenure system, associate professors","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-2"
"105367","Ottawa University-Phoenix","2019","Not on tenure/no tenure system, assistant professors","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2019","Tenured total","130","76","54","2","1","1","10","7","3","11","5","6","13","8","5","1","0","1","85","50","35","6","4","2","2","1","1","0","0","0","-2"
"109350","Antelope Valley College","2019","Tenured, professors","50","26","24","1","1","0","2","0","2","4","0","4","6","4","2","0","0","0","34","19","15","3","2","1","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2019","Tenured, associate professors","65","42","23","1","0","1","8","7","1","4","4","0","4","3","1","0","0","0","46","28","18","1","0","1","1","0","1","0","0","0","-2"
"109350","Antelope Valley College","2019","Tenured, instructors","12","6","6","0","0","0","0","0","0","3","1","2","1","0","1","1","0","1","5","3","2","1","1","0","1","1","0","0","0","0","-2"
"109350","Antelope Valley College","2019","Tenured, no academic rank","3","2","1","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2019","On-Tenure track total","32","17","15","0","0","0","3","0","3","1","0","1","2","1","1","2","0","2","19","14","5","4","2","2","1","0","1","0","0","0","-2"
"109350","Antelope Valley College","2019","On-tenure track, professors","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"109350","Antelope Valley College","2019","On-tenure track, instructors","12","7","5","0","0","0","2","0","2","1","0","1","1","1","0","0","0","0","5","5","0","2","1","1","1","0","1","0","0","0","-2"
"109350","Antelope Valley College","2019","On-tenure track, no academic rank","19","10","9","0","0","0","1","0","1","0","0","0","1","0","1","1","0","1","14","9","5","2","1","1","0","0","0","0","0","0","-2"
"109785","Azusa Pacific University","2019","Not on tenure track/No tenure system system total","447","193","254","2","1","1","62","23","39","30","9","21","30","13","17","3","2","1","288","128","160","6","3","3","26","14","12","0","0","0","-2"
"109785","Azusa Pacific University","2019","Not on tenure/no tenure system, professors","135","78","57","1","1","0","17","10","7","10","5","5","7","3","4","1","0","1","89","52","37","0","0","0","10","7","3","0","0","0","-2"
"109785","Azusa Pacific University","2019","Not on tenure/no tenure system, associate professors","117","60","57","1","0","1","18","9","9","9","2","7","8","4","4","0","0","0","75","43","32","0","0","0","6","2","4","0","0","0","-2"
"109785","Azusa Pacific University","2019","Not on tenure/no tenure system, assistant professors","175","54","121","0","0","0","24","4","20","10","2","8","14","6","8","2","2","0","110","32","78","6","3","3","9","5","4","0","0","0","-2"
"109785","Azusa Pacific University","2019","Not on tenure/no tenure system, instructors","20","1","19","0","0","0","3","0","3","1","0","1","1","0","1","0","0","0","14","1","13","0","0","0","1","0","1","0","0","0","-2"
"109819","Bakersfield College","2019","Tenured total","178","95","83","2","1","1","7","2","5","12","8","4","22","12","10","1","1","0","120","66","54","2","1","1","7","3","4","5","1","4","-2"
"109819","Bakersfield College","2019","Tenured, instructors","178","95","83","2","1","1","7","2","5","12","8","4","22","12","10","1","1","0","120","66","54","2","1","1","7","3","4","5","1","4","-2"
"109819","Bakersfield College","2019","On-Tenure track total","153","79","74","2","2","0","4","3","1","6","4","2","40","16","24","0","0","0","96","53","43","1","0","1","0","0","0","4","1","3","-2"
"109819","Bakersfield College","2019","On-tenure track, instructors","153","79","74","2","2","0","4","3","1","6","4","2","40","16","24","0","0","0","96","53","43","1","0","1","0","0","0","4","1","3","-2"
"109819","Bakersfield College","2019","Not on tenure track/No tenure system system total","36","19","17","0","0","0","0","0","0","2","2","0","12","4","8","0","0","0","20","12","8","1","1","0","0","0","0","1","0","1","-2"
"109819","Bakersfield College","2019","Not on tenure/no tenure system, instructors","36","19","17","0","0","0","0","0","0","2","2","0","12","4","8","0","0","0","20","12","8","1","1","0","0","0","0","1","0","1","-2"
"110361","California Baptist University","2019","Tenured total","136","77","59","0","0","0","22","14","8","2","1","1","5","2","3","0","0","0","104","59","45","3","1","2","0","0","0","0","0","0","-2"
"110361","California Baptist University","2019","Tenured, professors","93","60","33","0","0","0","18","13","5","1","0","1","4","1","3","0","0","0","67","45","22","3","1","2","0","0","0","0","0","0","-2"
"110361","California Baptist University","2019","Tenured, associate professors","43","17","26","0","0","0","4","1","3","1","1","0","1","1","0","0","0","0","37","14","23","0","0","0","0","0","0","0","0","0","-2"
"110361","California Baptist University","2019","On-Tenure track total","192","100","92","2","0","2","29","14","15","22","9","13","23","9","14","1","0","1","106","66","40","2","1","1","7","1","6","0","0","0","-2"
"110361","California Baptist University","2019","On-tenure track, professors","19","16","3","0","0","0","2","2","0","2","1","1","1","1","0","0","0","0","14","12","2","0","0","0","0","0","0","0","0","0","-2"
"110361","California Baptist University","2019","On-tenure track, associate professors","52","30","22","1","0","1","12","7","5","3","1","2","5","2","3","0","0","0","30","19","11","0","0","0","1","1","0","0","0","0","-2"
"110361","California Baptist University","2019","On-tenure track, assistant professors","121","54","67","1","0","1","15","5","10","17","7","10","17","6","11","1","0","1","62","35","27","2","1","1","6","0","6","0","0","0","-2"
"110361","California Baptist University","2019","Not on tenure track/No tenure system system total","25","14","11","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","23","13","10","0","0","0","0","0","0","0","0","0","-2"
"110361","California Baptist University","2019","Not on tenure/no tenure system, instructors","10","5","5","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","9","4","5","0","0","0","0","0","0","0","0","0","-2"
"110361","California Baptist University","2019","Not on tenure/no tenure system, lecturers","15","9","6","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","14","9","5","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2019","Tenured total","111","56","55","0","0","0","10","5","5","5","2","3","10","2","8","0","0","0","84","46","38","1","1","0","0","0","0","1","0","1","-2"
"110413","California Lutheran University","2019","Tenured, professors","57","30","27","0","0","0","5","2","3","4","2","2","3","1","2","0","0","0","45","25","20","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2019","Tenured, associate professors","50","23","27","0","0","0","5","3","2","1","0","1","6","0","6","0","0","0","36","19","17","1","1","0","0","0","0","1","0","1","-2"
"110413","California Lutheran University","2019","Tenured, assistant professors","4","3","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","3","2","1","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2019","On-Tenure track total","39","18","21","0","0","0","10","6","4","3","1","2","7","2","5","0","0","0","17","9","8","1","0","1","1","0","1","0","0","0","-2"
"110413","California Lutheran University","2019","On-tenure track, professors","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2019","On-tenure track, associate professors","2","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2019","On-tenure track, assistant professors","34","15","19","0","0","0","8","6","2","3","1","2","6","1","5","0","0","0","15","7","8","1","0","1","1","0","1","0","0","0","-2"
"110413","California Lutheran University","2019","On-tenure track, instructors","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2019","On-tenure track, lecturers","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2019","Not on tenure track/No tenure system system total","46","22","24","0","0","0","3","2","1","2","1","1","4","2","2","0","0","0","36","16","20","0","0","0","1","1","0","0","0","0","-2"
"110413","California Lutheran University","2019","Not on tenure/no tenure system, professors","5","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","2","0","0","0","0","0","0","0","0","0","-2"
"110413","California Lutheran University","2019","Not on tenure/no tenure system, assistant professors","11","7","4","0","0","0","0","0","0","1","1","0","2","2","0","0","0","0","7","3","4","0","0","0","1","1","0","0","0","0","-2"
